產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-110年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-110年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
"水泥工業","1101","台泥","1173585","1139","1030","1082","922","958","0.74","881","1.57","N","N","N","",
"水泥工業","1102","亞泥","482801","457","1056","1110","930","1003","3.63","881","1.57","N","N","N","",
"水泥工業","1103","嘉泥","64600","74","873","1139","805","923","-0.28","881","1.57","N","N","N","",
"水泥工業","1104","環泥","348067","437","796","760","724","678","3.12","881","1.57","N","Y","N","環泥111年度EPS(3.12元)較高,主要係因營業外收入-採用權益法認列之關聯企業損益份額增加所致。",
"水泥工業","1108","幸福","212260","366","580","523","521","478","1.44","881","1.57","N","N","N","",
"水泥工業","1109","信大","208544","325","642","664","607","624","1.17","881","1.57","N","N","N","",
"水泥工業","1110","東泥","61150","97","630","603","607","587","0.26","881","1.57","N","N","N","",
"食品工業","1201","味全","947319","1291","734","735","675","657","0.47","837","2.86","N","N","N","",
"食品工業","1203","味王","423753","696","609","585","579","555","2.63","837","2.86","N","N","N","",
"食品工業","1210","大成","1764835","2485","710","697","600","598","2.59","837","2.86","N","N","N","",
"食品工業","1213","大飲","37147","92","404","446","384","402","-1.34","837","2.86","Y","N","Y","因疫情影響，公司營收不如預期，非經理人之全時員工薪資平均數雖未達，但非主管同仁薪資仍依基本工資做調整。",
"食品工業","1215","卜蜂","1497311","2251","665","579","508","497","5.28","837","2.86","N","Y","N","1.111年因疫情因素,員工普遍請假天數增多,薪資減少。
2.產能不足減產,導致加班費降低,影響到薪資結構。",
"食品工業","1216","統一","6272450","5304","1183","1217","1012","1043","3.02","837","2.86","N","N","N","",
"食品工業","1217","愛之味","356405","518","688","684","590","582","0.56","837","2.86","N","N","N","",
"食品工業","1218","泰山","539096","514","1049","737","853","634","12.17","837","2.86","N","N","N","",
"食品工業","1219","福壽","385289","565","682","647","625","599","1.00","837","2.86","N","N","N","",
"食品工業","1220","台榮","105664","185","571","603","537","553","0.26","837","2.86","N","N","N","",
"食品工業","1225","福懋油","149349","215","695","701","621","614","1.69","837","2.86","N","N","N","",
"食品工業","1227","佳格","807691","944","856","827","767","758","1.34","837","2.86","N","N","N","",
"食品工業","1229","聯華","894104","1194","749","738","680","673","2.63","837","2.86","N","N","N","",
"食品工業","1231","聯華食","1360371","1982","686","634","582","534","3.89","837","2.86","N","Y","N","本公司雇用基層生產線作業人員佔比高達70%，其中外籍同仁及未全年在職人數佔37%。員工薪資平均數已較去年成長約8.2%，本公司秉持共創價值、分享利益、均霑喜悅之理念，將持續優化同仁薪酬水準。",
"食品工業","1232","大統益","220330","139","1585","1591","1362","1382","7.66","837","2.86","N","N","N","",
"食品工業","1233","天仁","436808","803","544","509","487","455","0.57","837","2.86","N","N","N","",
"食品工業","1234","黑松","409411","502","816","779","733","577","2.21","837","2.86","N","N","N","",
"食品工業","1235","興泰","6314","15","421","395","440","406","1.31","837","2.86","Y","N","N","1.本公司已成立40多年，老員工已退休，目前員工為年資較淺之新員工。
2.公司獲利原因為業外投資收益，本業實則處於虧損狀態。
3.公司依各別員工表現予以調高薪資,並不定期加發獎金以提振員工士氣。",
"食品工業","1236","宏亞","294728","590","500","487","440","457","3.91","837","2.86","N","Y","N","2.本公司111年度EPS 3.91 較同業2.86為佳，惟薪資平均數500仟元較同業平均837為低，主係處分不動產、廠房及設備使營業外收入增加445,345仟元所致，由於此為一次性獲利，故未能大幅提升薪資平均數。",
"塑膠工業","1301","台塑","8822954","6310","1398","1506","1270","1403","5.68","1219","2.56","N","N","N","",
"塑膠工業","1303","南亞","15007930","12124","1238","1410","1161","1369","4.05","1219","2.56","N","N","N","",
"塑膠工業","1304","台聚","670359","443","1513","1471","1376","1318","1.45","1219","2.56","N","N","N","公司於年度營業終了，結算如有盈餘，除繳納稅捐、彌補虧損及提列股息公積金外，視整體營運發展及同仁績效等綜合考量後，在法遵前提下並考量外部競爭及內部衡平性，發給年終獎金及進行年度調薪。",
"塑膠工業","1305","華夏","622964","661","942","1190","904","1165","-0.64","1219","2.56","N","N","N","本公司員工酬勞制度在公司章程中已訂定「年度如有獲利應分派員工酬勞不低於當年度獲利百分之一」，所有本公司員工均可分享公司經營成果。",
"塑膠工業","1307","三芳","478051","654","731","627","694","600","1.18","1219","2.56","N","N","N","",
"塑膠工業","1308","亞聚","321888","216","1490","1439","1407","1346","2.44","1219","2.56","N","N","N","公司於年度營業終了，結算如有盈餘，除繳納
稅捐、彌補虧損及提列股息公積金外，視整體
營運發展及同仁績效等綜合考量後，在法遵前
提下並考量外部競爭及內部衡平性，發給年終
獎金及進行年度調薪。",
"塑膠工業","1309","台達化","389567","354","1100","1366","1039","1280","1.04","1219","2.56","N","N","N","每年依公司營運狀況調整員工薪資，並依營運策略全產全銷制訂合理之績效獎金制度，以達營運目標。",
"塑膠工業","1310","台苯","165057","187","883","1059","793","1018","-0.71","1219","2.56","N","N","N","",
"塑膠工業","1312","國喬","323930","369","878","1590","774","1426","-0.56","1219","2.56","N","N","N","",
"塑膠工業","1313","聯成","250499","215","1165","1281","1072","891","-0.94","1219","2.56","N","N","N","",
"塑膠工業","1314","中石化","1181483","1240","953","989","869","899","0.06","1219","2.56","N","N","N","",
"塑膠工業","1315","達新","205820","341","604","599","535","520","7.41","1219","2.56","N","Y","N","1.依學經歷、職等、貢獻度及勞基法規範核薪，並逐年依公司營運及獲利情況調整。
2.營業項目塑膠製品60.25%
3.外籍員工占全體員工14.08%
4.上述說明，成長優於同業、較同業標準低，均屬合理。",
"建材營造","1316","上曜","20481","32","640","669","511","592","0.70","908","2.07","N","N","Y","本公司111年度EPS增加，惟年度薪資平均數減少，主要係本年度發放員工建案獎金減少所致(本年度梅菲案建案完工交屋，因原預估獲利因實際建築成本增加而致實際獲利較原預估減少，故本期調整減少前期已發放獎金)。",
"汽車工業","1319","東陽","2070604","3029","684","619","582","532","3.64","815","-2.37","N","Y","N","本公司為汽車上游零組件業為勞力密集生產型態，與通路服務的汽車銷售業及設計製造的組車廠人力結構有所差異。若與零組件產業比較平均年薪差異不大；另搭配公司調薪，近五年平均年薪自58.9萬增加至68.4萬成長16%。",
"塑膠工業","1321","大洋","356693","446","800","809","738","750","-0.19","1219","2.56","N","N","N","",
"塑膠工業","1323","永裕","415288","697","596","597","508","513","2.05","1219","2.56","N","N","N","",
"塑膠工業","1324","地球","119469","223","536","556","446","456","0.06","1219","2.56","N","N","Y","本公司因111年度退休及離職同仁較新進人員數為多，又因疫情關係，111年度營業額較110年度減少，　因而加班費略為減少所致，公司依章程所訂，盈餘的3%為員工紅利，均反映於員工薪資中。",
"塑膠工業","1325","恆大","67647","144","470","473","405","389","0.19","1219","2.56","Y","N","N","公司依學經歷、職位、年資、工作表現、貢獻度及勞基法規範等因素核薪，111年度因稅前獲利較前一年度減少，員工酬勞僅提撥0.5%，金額為118,657元，致使非擔任主管職務之全時員工薪資平均數僅470仟元。",
"塑膠工業","1326","台化","6324697","4489","1409","1528","1283","1435","1.26","1219","2.56","N","N","N","",
"汽車工業","1339","昭輝","154910","239","648","510","495","449","5.51","815","-2.37","N","Y","N","公司為汽車零件製造廠，不同於整車廠移工人數較低，少子化導致缺工及傳產製造環境影響，台灣人招募不易，因此只能增額錄用移工並繳交增額就業安定基金費，
而此部分並未納入平均薪資統計，致平均薪資較整車廠為低。",
"其他","1342","八貫","240003","359","669","643","538","510","7.34","893","2.87","N","Y","N","其他產業別中組成多元，本公司係製造醫療、救生、航太用機能性布料及成品組件為主，與所謂的「同業」營業屬性有相當差異。111年度非擔任主管職務員工平均薪資669千元，較上年度增加7%，經營績效與員工薪酬呈正相關。",
"紡織纖維","1402","遠東新","4143116","4098","1011","976","864","849","1.63","730","1.47","N","N","N","",
"紡織纖維","1409","新纖","1330042","1788","744","761","618","611","1.75","730","1.47","N","N","N","",
"紡織纖維","1410","南染","34197","65","526","537","528","547","0.90","730","1.47","N","N","N","",
"紡織纖維","1413","宏洲","125463","185","678","648","607","614","0.75","730","1.47","N","N","N","",
"紡織纖維","1414","東和","116208","202","575","564","529","527","0.47","730","1.47","N","N","N","",
"其他","1416","廣豐","5624","7","803","766","940","781","0.51","893","2.87","N","N","N","",
"紡織纖維","1417","嘉裕","151072","288","525","551","473","446","0.56","730","1.47","N","N","Y","110年薪資平均數較高，係因配合部分業務調整，給付優於勞基法條件的優離優退方案，拉高平均年薪總額之短期現象；排除相關金額對110年度影響後，從109年至111年，非擔任主管職務之全時員工薪資平均數是逐年提高的。",
"紡織纖維","1418","東華","21379","36","594","542","515","478","0.40","730","1.47","N","N","N","",
"紡織纖維","1419","新紡","359739","499","721","652","610","564","6.92","730","1.47","N","Y","N","出售土地獲利，致EPS優於同業水平。",
"紡織纖維","1423","利華","23415","45","520","508","481","442","0.53","730","1.47","N","N","N","",
"運動休閒","1432","大魯閣","163983","318","516","430","425","364","-0.35","920","7.61","N","N","N","",
