產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-112年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-112年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-111年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
"農業科技","1240","茂生農經","59717","90","664","679","579","577","4.12","609","0.13","N","N","Y","EPS較前一年成長非經理人全時員工薪資平均112年664仟元較111年(前一年)679仟元少：公司經營績效與員工薪酬關聯性並未變化,主要是本公司肉品行銷部112年人員較111年人員大幅減少往年行銷部人員薪酬可能拉高平均值所致",
"觀光餐旅","1259","安心","605722","975","621","603","562","548","5.17","600","1.78","N","N","N","",
"食品工業","1264","德麥","230923","277","834","831","684","704","18.24","734","3.97","N","N","N","",
"觀光餐旅","1268","漢來美食","819839","1306","628","550","525","462","7.61","600","1.78","N","N","N","",
"電子零組件業","1336","台翰","14951","16","934","760","708","591","1.39","703","1.58","N","N","N","",
"生技醫療業","1565","精華","1601157","2598","616","681","569","633","10.83","749","0.13","N","Y","N","本公司生產線人員約佔公司總人數8成，結構與大部分生技醫療產業不同，當公司獲利升降時獎金亦會進行相對之反映。因112年度之EPS比前一年減少約9元(下降幅度約46%)，故員工獎金亦進行相對之反映。",
"電腦及週邊設備業","1569","濱川","23693","36","658","692","621","638","-0.95","890","3.92","N","N","N","",
"電機機械","1570","力肯","63373","116","546","542","416","423","0.36","695","2.14","N","N","N","",
"電機機械","1580","新麥","66603","69","965","945","955","913","12.01","695","2.14","N","N","N","",
"其他","1584","精剛","108834","141","772","688","692","634","3.01","677","1.82","N","N","N","",
"電機機械","1586","和勤","105871","201","527","535","431","476","-0.67","695","2.14","N","N","N","",
"運動休閒","1593","祺驊","62505","115","544","620","407","475","1.28","543","-0.73","N","N","N","",
"電子零組件業","1595","川寶","42015","60","700","696","599","597","1.04","703","1.58","N","N","N","",
"電機機械","1599","宏佳騰","228826","400","572","557","519","515","-0.06","695","2.14","N","N","N","",
"化學工業","1742","台蠟","13231","24","551","517","540","497","0.41","723","1.01","N","N","N","",
