產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-112年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-112年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"水泥工業","1101","台泥","1161711","1158","1003","994","0.91%","877","871","0.69%","1.45","909","1.99","N","N","N","","",
"水泥工業","1102","亞泥","499073","441","1132","1083","4.52%","988","941","4.99%","3.86","909","1.99","N","N","N","","",
"水泥工業","1103","嘉泥","73615","67","1099","869","26.47%","1023","800","27.88%","0.48","909","1.99","N","N","N","","",
"水泥工業","1104","環泥","385167","453","850","814","4.42%","792","745","6.31%","2.16","909","1.99","N","Y","N","本公司113年度EPS(2.16元)較高，主要係因營業外收入-採用權益法認列之關聯企業損益份額所致。","本公司配合證交法第四十六條第六項修改本公司公司章程。",
"水泥工業","1108","幸福","216037","363","595","593","0.34%","523","516","1.36%","1.22","909","1.99","N","N","N","","",
"水泥工業","1109","信大","220759","324","681","683","-0.29%","651","650","0.15%","1.38","909","1.99","N","N","N","","",
"水泥工業","1110","東泥","33037","43","768","763","0.66%","729","673","8.32%","0.61","909","1.99","N","N","N","","",
"食品工業","1201","味全","1024718","1299","789","728","8.38%","729","673","8.32%","0.87","872","2.95","N","N","N","","",
"食品工業","1203","味王","418464","675","620","600","3.33%","592","574","3.14%","2.36","872","2.95","N","N","N","","",
"食品工業","1210","大成","2239024","2857","784","756","3.70%","666","634","5.05%","4.21","872","2.95","N","Y","N","本公司目前營業比重以飼料為大宗佔54%，食品相對略低，僅約佔20%，與其它食品業有差異； 另又人力結構中，外籍移工佔比逾三成。","本公司依照公司營運目標的進展與獲利發放各項獎金、年終獎金，員工酬勞依年度可分配盈餘不低於2%提撥發放， 並依法於114年修訂公司章程，明訂前述員工酬勞的分配之中層員工酬勞不低於0.5%。",
