產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-112年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-112年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"農業科技","1240","茂生農經","65078","88","740","664","11.45%","649","579","12.09%","4.34","645","0.64","N","N","N","","",
"觀光餐旅","1259","安心","496612","787","631","621","1.61%","603","562","7.30%","2.05","636","1.19","N","Y","N","受餐飲業第一線人員普遍缺工影響，本公司進用較多兼職計時人員運用，拉高兼職計時人員佔比，以致非經理人全時員工平均薪資較同業水準低。","今年起，計時人員時薪搭配區域差異，提升至$190~$225起，月薪制人員薪資平均調幅4%~7%，並強化營運績效連動之各項激勵獎金，制訂員工酬勞分配擴及基層員工等方案。",
"食品工業","1264","德麥","256402","282","909","834","8.99%","732","684","7.02%","20.55","744","3.95","N","N","N","","",
"觀光餐旅","1268","漢來美食","1004649","1503","668","628","6.37%","566","525","7.81%","10.06","636","1.19","N","N","N","","",
"食品工業","1294","漢田生技","102777","150","685","0","0.00%","596","0","0.00%","6.02","744","3.95","N","Y","N","1.關聯性：公司薪酬制度與績效評核等因素，參酌市場薪資水準，適時調整薪資。
2.合理性說明：公司位於中部，參酌產業薪資水準，因本公司為製造業且以作業員為主，工作性質標準化流程，致使整體平均薪資較低。","以獎金激勵同仁提升工作品質，並配合經營績效分配獎金，提升總體薪資水準。",
"電子零組件業","1336","台翰","19511","19","1027","934","9.96%","782","708","10.45%","2.10","747","2.21","N","N","N","","",
"生技醫療業","1565","精華","1664818","2314","719","616","16.72%","668","569","17.40%","14.82","787","0.41","N","Y","N","本公司生產線人員約佔公司總人數8成，結構與大部分生技醫療產業不同，當公司獲利升降時獎金亦會進行相對之反映。113年非主管員工之平均薪資增加了10.3萬，增幅為16.7%，已反映經營績效。","後續會視狀況隨著營運績效提高員工薪酬。",
"電腦及週邊設備業","1569","濱川","25902","37","700","658","6.38%","647","621","4.19%","-2.57","909","4.39","N","N","N","","",
"電機機械","1570","力肯","70304","120","586","546","7.33%","479","416","15.14%","2.25","725","2.47","N","N","N","","",
"電機機械","1580","新麥","67018","67","1000","965","3.63%","970","955","1.57%","13.59","725","2.47","N","N","N","","",
"其他","1584","精剛","123858","164","755","772","-2.20%","681","692","-1.59%","1.57","695","2.24","N","N","N","","",
"電機機械","1586","和勤","117300","184","638","527","21.06%","574","431","33.18%","0.43","725","2.47","N","N","N","","",
"運動休閒","1593","祺驊","54460","91","598","544","9.93%","465","407","14.25%","1.70","628","2.07","N","N","N","","",
"電子零組件業","1595","川寶","49556","65","762","700","8.86%","644","599","7.51%","-0.06","747","2.21","N","N","N","","",
"電機機械","1599","宏佳騰","212424","391","543","572","-5.07%","512","519","-1.35%","1.21","725","2.47","N","N","Y","基礎作業員技術含量不高且鄰近科技園區資深人力流失致平均數相較低同業，113年相較112年平均薪資低，主要為112年有加發111年營運獎金所致","本公司114年導入職能評鑑依營運積效調整員工福利，並於章程明定員工酬勞分派基層員工不低於獲利提撥40%",
"化學工業","1742","台蠟","14108","24","588","551","6.72%","546","540","1.11%","0.89","759","1.61","N","N","N","","",
"生技醫療業","1777","生泰","202307","211","959","906","5.85%","889","822","8.15%","8.82","787","0.41","N","N","N","","",
"生技醫療業","1781","合世","33067","43","769","711","8.16%","710","660","7.58%","0.51","787","0.41","N","Y","N","每股盈餘較同業為佳係因113年度兌換利益較高所致。","本公司將繼續提升營運績效，提高員工薪酬。",
"生技醫療業","1784","訊聯","137635","155","888","853","4.10%","714","714","0.00%","1.65","787","0.41","N","N","N","","",
"其他電子業","1785","光洋科","1021197","1102","927","690","34.35%","714","534","33.71%","3.21","958","4.44","N","N","N","","",
"生技醫療業","1788","杏昌","289155","265","1091","1060","2.92%","916","918","-0.22%","8.08","787","0.41","N","N","N","","",
"食品工業","1796","金穎生技","170778","277","617","653","-5.51%","584","553","5.61%","-0.54","744","3.95","N","N","N","","",
"生技醫療業","1799","易威","4275","6","713","648","10.03%","662","653","1.38%","-0.81","787","0.41","N","N","N","","",
"生技醫療業","1813","寶利徠","60519","97","624","614","1.63%","528","508","3.94%","-0.63","787","0.41","N","N","N","","",
"電子零組件業","1815","富喬","671621","924","727","596","21.98%","699","522","33.91%","0.13","747","2.21","N","N","N","","",
"鋼鐵工業","2035","唐榮公司","684887","584","1173","1123","4.45%","1229","1265","-2.85%","-2.20","804","2.00","N","N","N","","",
"電器電纜","2061","風青","754","2","377","416","-9.38%","462","384","20.31%","-0.30","377","-0.30","Y","N","Y","本公司員工薪酬包括本薪、獎金及紅利，本薪係依據各職務之內容與性質訂定，除符合法律規定最低標準亦反應公司整體營運成本效益，再根據過去一年的績效表現給予適當調薪，獎金及紅利則隨著公司獲利狀況而給予。","1.讓員工了解公司經營績效與員工薪酬的關聯性。
2.建立以職務職能為基礎的薪資結構，讓員工有機會晉升和調薪。
3.鼓勵員工提升技能，並與薪資調整結合。
4.提升公司獲利，將利潤與員工共享。",
