產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數調整變動情形(%),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"水泥工業","1101","台泥","1205896","1212","995","1003","-0.80%","895","877","2.05%","-1.60","            990","不適用","-","          1,008","不適用","-","            906","不適用","-","            860","不適用","-","915","0.13","N","N","N","","",
"水泥工業","1102","亞泥","494077","435","1136","1132","0.35%","992","988","0.40%","3.00","          1,098","不適用","-","          1,231","不適用","-","            979","不適用","-","          1,189","不適用","-","915","0.13","N","N","N","","",
"水泥工業","1103","嘉泥","77077","71","1086","1099","-1.18%","971","1023","-5.08%","0.84","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","915","0.13","N","N","Y","114年度EPS較前一年度高，主要係114年度營業外收入-採用權益法認列之關聯企業損益份額較前一年增加所致；而薪資平均數較前一年微幅減少，主要是人員異動（例如資深員工退休）產生之薪資差異。","公司每年持續參與兩家專業第三方薪資調查，並參考物價水準進行滾動式薪資調整，以確保薪酬具市場競爭力，同時將營運績效適度反映於員工薪酬，與員工共享公司經營成果。",
"水泥工業","1104","環泥","404084","458","882","850","3.76%","818","792","3.28%","2.56","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","915","0.13","N","Y","N","本公司114年度EPS(2.56元)較高，主要係因營業外收入-採用權益法認列之關聯企業損益份額所致。","公司後續將視營運狀況不斷檢討、調整員工薪酬福利。",
"水泥工業","1108","幸福","234405","371","632","595","6.22%","555","523","6.12%","2.18","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","915","0.13","N","Y","N","1.114年度EPS為2.18元，主係單一事件(石材供應商退款)所導致，若排除此單一事件，114年度之EPS尚低於113年度。
2.本公司非擔任主管職員工薪資之平均數，114年度為632仟元，113年度595仟元，已實質增加37仟元。","本公司預計於今年(115年)實質調薪。",
"水泥工業","1109","信大","210012","322","652","681","-4.26%","623","651","-4.30%","1.03","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","915","0.13","N","Y","N","本公司每年透過員工酬勞與年終獎金機制，將年度績效回饋予全體員工。","本公司114年度營收及EPS皆較113年度下降，公司仍展現對員工的重視，於115年4月進行全體員工薪資調整，平均實質薪資提升約5%。",
"水泥工業","1110","東泥","38742","44","881","768","14.71%","809","729","10.97%","0.36","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","915","0.13","N","Y","N","本公司114年度EPS0.36元除比台泥EPS-1.60元高外，其他同業EPS均高於本公司甚多，另114年度本公司非擔任主管之全時員工薪資平均數較113年增加10.97%，同業114年平均數較113年僅增加0.66%，顯示本公司優於同業。","遵循公司章程規定，員工酬勞中分配予基層員工比例不低於50%，並持續檢視薪酬政策，以確保薪資水準與市場趨勢保持合理性。",
"食品工業","1201","味全","1054862","1340","787","789","-0.25%","730","729","0.14%","0.40","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","875","2.70","N","N","N","","",
"食品工業","1203","味王","410269","666","616","620","-0.65%","584","592","-1.35%","1.81","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","875","2.70","N","N","N","","",
"食品工業","1210","大成","2400433","2973","807","784","2.93%","689","666","3.45%","4.33","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","875","2.70","N","Y","N","本公司目前營業比重以飼料為大宗約佔52%，食品僅約佔21%，與其它食品業有相當的差異；另又人力結構中，外籍移工佔比逾三成。","本公司依照公司營運目標的進展與獲利發放各項獎金、年終獎金，員工酬勞依年度可分配盈餘不低於2%提撥發放， 並依法於114年修訂公司章程，明訂前述員工酬勞的分配之中基層員工酬勞不低於0.5%。",
