產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數調整變動情形(%),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"農業科技","1240","茂生農經","65827","85","774","740","4.59%","675","649","4.01%","4.86","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","634","0.22","N","N","N","","",
"觀光餐旅","1259","安心","618068","988","626","631","-0.79%","572","603","-5.14%","2.45","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","640","0.88","N","Y","Y","本公司因應餐飲速食業特性，門市營運仰賴大量兼職人力，致兼職員工佔比高，與同業結構差異致平均數略低。","每年除依基本工資調整薪資，並強化獎酬與績效連結，以優於法定調幅。藉由定期檢討薪酬政策，提升公平性、競爭力與員工向心力，進而提升留任率與整體薪資水準。",
"食品工業","1264","德麥","250452","284","882","909","-2.97%","735","732","0.41%","20.47","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","767","3.60","N","N","N","","",
"觀光餐旅","1268","漢來美食","1087370","1581","688","668","2.99%","589","566","4.06%","10.12","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","640","0.88","N","N","N","","",
"食品工業","1294","漢田生技","107483","162","663","685","-3.21%","609","596","2.18%","4.60","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","767","3.60","N","Y","N","1.關聯性:薪酬制度依職務、能力及績效訂定，並結合營運成果與獎金制度，反映員工貢獻。
2.合理性:公司屬中部製造業，作業員占比較高且工作較標準化，致平均薪資受結構影響；另透過獎金制度兼顧激勵與外部平衡。","每年將持續優化全面薪酬策略，定期進行市場薪資滾動式調查，並視營運綜效動態微調固定薪資與福利結構，確保整體待遇逐步落實同業均衡。",
"食品工業","1295","生合","176006","212","830","0","0.00%","691","0","0.00%","5.29","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","767","3.60","N","N","N","","",
"電子零組件業","1336","台翰","23124","21","1101","1027","7.21%","907","782","15.98%","0.71","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","797","2.47","N","N","N","","",
"生技醫療業","1565","精華","1687677","2440","692","719","-3.76%","630","668","-5.69%","9.03","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","Y","N","本公司生產線人員約占員工總數八成，人力結構與多數生技醫療產業有差異。114年淨利較113年減少39%，公司雖調整非主管職員工獎金，惟考量薪酬穩定性，平均薪資僅減少約2.7萬元，減幅3.9%。","後續會視狀況隨著營運績效提高員工薪酬。",
"電腦及週邊設備業","1569","濱川","30755","46","669","700","-4.43%","600","647","-7.26%","-5.61","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","924","3.90","N","N","N","","",
"電機機械","1570","力肯","72952","114","640","586","9.22%","501","479","4.59%","0.59","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","747","1.65","N","N","N","","",
